id,pid_7,republican,democrat,LV_INDEX_DUMMY,black,hispanic,white,race_4,female,educ_1,educ_2,educ_3,USHHI2,EDUATT,income_quintile,vote_choice,direct_Y,Z,list_Y,WEIGHTS
ID_0025,6,1,0,1,0,0,1,White,1,0,0,1,17,3,60th - 80th Income Percentile,3,0,1,2,0.266001221
ID_0026,6,1,0,0,0,0,1,White,1,0,1,0,24,2,Above 80th Income Percentile,5,0,1,2,0.451528433
ID_0027,6,1,0,1,0,0,1,White,1,0,0,1,7,3,20th - 40th Income Percentile,3,0,0,1,0.578340151
ID_0028,1,0,1,1,0,1,0,Hispanic,1,0,1,0,6,2,20th - 40th Income Percentile,2,0,0,3,1.475462844
ID_0029,6,1,0,1,0,0,1,White,1,0,1,0,15,2,60th - 80th Income Percentile,3,0,0,1,0.954940335
ID_0030,3,0,1,1,0,0,1,White,1,0,0,1,3,3,Below 20th Income Percentile,3,0,1,2,0.939871992
ID_0031,4,0,0,0,0,0,1,White,1,0,1,0,11,2,40th - 60th Income Percentile,5,0,1,1,1.721905788
ID_0032,6,1,0,0,0,0,1,White,1,0,0,1,24,3,Above 80th Income Percentile,5,0,0,1,0.707730802
ID_0033,5,1,0,1,0,0,1,White,1,0,0,1,11,3,40th - 60th Income Percentile,5,0,1,1,0.448851234
ID_0034,3,0,1,1,0,1,0,Hispanic,1,0,1,0,18,2,60th - 80th Income Percentile,2,0,1,3,0.544808856
ID_0035,1,0,1,1,0,0,1,White,1,0,1,0,19,2,Above 80th Income Percentile,3,0,1,2,1.027683513
ID_0036,4,0,0,0,0,0,1,White,0,1,0,0,2,1,Below 20th Income Percentile,2,0,0,1,2.003498217
ID_0037,4,0,0,0,0,0,1,White,1,0,0,1,19,3,Above 80th Income Percentile,2,0,1,3,0.53833744
ID_0038,4,0,0,0,0,0,1,White,1,0,1,0,13,2,40th - 60th Income Percentile,4,0,1,2,0.71761899
ID_0039,6,1,0,1,0,0,1,White,0,0,1,0,7,2,20th - 40th Income Percentile,3,0,1,1,0.834975048
ID_0040,1,0,1,1,0,0,1,White,1,0,0,1,15,3,60th - 80th Income Percentile,2,0,1,2,0.8488291
ID_0041,2,0,1,1,0,0,1,White,1,0,1,0,3,2,Below 20th Income Percentile,4,0,0,2,1.742922948
ID_0042,7,1,0,1,0,0,1,White,1,0,0,0,20,4,Above 80th Income Percentile,1,1,0,2,0.448851234
ID_0043,1,0,1,0,0,0,1,White,1,0,1,0,5,2,20th - 40th Income Percentile,2,0,0,2,1.015829114
ID_0044,2,0,1,1,0,0,1,White,0,0,1,0,17,2,60th - 80th Income Percentile,2,0,1,1,1.097708456
ID_0045,7,1,0,1,0,0,1,White,1,0,0,1,9,3,40th - 60th Income Percentile,1,1,0,1,0.491671224
ID_0046,2,0,1,1,0,0,1,White,0,0,0,1,19,3,Above 80th Income Percentile,1,1,0,1,0.813539923
ID_0047,3,0,1,1,1,0,0,Black,1,0,1,0,3,2,Below 20th Income Percentile,2,0,0,2,1.439463469
ID_0048,6,1,0,1,0,1,0,Hispanic,1,0,0,0,22,4,Above 80th Income Percentile,1,1,1,2,0.33665406
ID_0049,6,1,0,1,0,0,1,White,1,0,0,1,24,3,Above 80th Income Percentile,3,0,0,2,0.75285704
ID_0050,5,1,0,1,0,0,1,White,1,0,0,1,7,3,20th - 40th Income Percentile,1,1,0,1,0.319033136
ID_0051,2,0,1,1,0,0,1,White,1,0,0,1,16,3,60th - 80th Income Percentile,2,0,0,2,1.546221362
ID_0052,4,0,0,0,0,0,1,White,1,0,1,0,5,2,20th - 40th Income Percentile,1,1,1,3,0.428295909
ID_0053,6,1,0,1,0,0,1,White,0,0,1,0,18,2,60th - 80th Income Percentile,3,0,1,1,1.187326519
ID_0054,2,0,1,1,0,0,1,White,1,0,0,1,6,3,20th - 40th Income Percentile,3,0,1,1,1.127251624
ID_0055,1,0,1,1,0,0,1,White,1,0,0,0,9,4,40th - 60th Income Percentile,2,0,1,2,0.491671224
ID_0056,4,0,0,0,0,0,1,White,1,1,0,0,2,1,Below 20th Income Percentile,3,0,0,1,1.721905788
ID_0057,4,0,0,0,1,0,0,Black,1,0,0,1,16,3,60th - 80th Income Percentile,4,0,0,0,0.384300327
ID_0058,4,0,0,0,0,0,1,White,1,0,0,1,24,3,Above 80th Income Percentile,5,0,1,0,0.448851234
ID_0059,1,0,1,1,0,1,0,Hispanic,1,0,1,0,7,2,20th - 40th Income Percentile,3,0,0,1,1.805564599
ID_0060,6,1,0,1,0,0,1,White,1,0,1,0,14,2,40th - 60th Income Percentile,1,1,0,3,1.454742483
ID_0061,6,1,0,0,0,0,1,White,1,0,1,0,8,2,20th - 40th Income Percentile,4,0,0,1,0.428295909
ID_0062,2,0,1,1,1,0,0,Black,1,0,1,0,15,2,60th - 80th Income Percentile,2,0,1,1,1.717459949
ID_0063,5,1,0,1,0,1,0,Hispanic,1,0,1,0,19,2,Above 80th Income Percentile,1,1,1,3,1.145110393
ID_0064,2,0,1,0,0,0,1,White,1,0,1,0,24,2,Above 80th Income Percentile,4,0,1,2,2.56080209
ID_0065,1,0,1,1,0,1,0,Hispanic,1,0,0,0,8,4,20th - 40th Income Percentile,2,0,1,2,0.33665406
ID_0066,6,1,0,0,0,0,1,White,1,0,0,1,3,3,Below 20th Income Percentile,2,0,1,2,0.71995707
ID_0067,5,1,0,1,0,0,1,White,1,0,1,0,24,2,Above 80th Income Percentile,2,0,0,2,0.753934852
ID_0068,1,0,1,1,1,0,0,Black,1,0,1,0,1,2,Below 20th Income Percentile,2,0,1,2,5.446052022
ID_0069,4,0,0,0,0,0,1,White,0,0,1,0,6,2,20th - 40th Income Percentile,4,0,1,2,4.641437025
ID_0070,2,0,1,1,0,0,1,White,1,0,1,0,18,2,60th - 80th Income Percentile,2,0,0,2,1.422665824
ID_0071,4,0,0,0,0,0,1,White,1,1,0,0,24,1,Above 80th Income Percentile,4,0,0,2,5.362191257
ID_0072,6,1,0,1,0,0,1,White,1,0,1,0,24,2,Above 80th Income Percentile,1,1,0,1,1.015829114
ID_0073,4,0,0,0,0,0,1,White,1,0,0,1,2,3,Below 20th Income Percentile,3,0,1,1,0.512406568
ID_0074,3,0,1,0,0,0,1,White,1,0,0,1,19,3,Above 80th Income Percentile,1,1,0,2,0.881031335
ID_0075,2,0,1,1,0,1,0,Hispanic,1,0,0,0,11,4,40th - 60th Income Percentile,2,0,0,2,0.353690792
ID_0076,7,1,0,1,0,1,0,Hispanic,1,1,0,0,7,1,20th - 40th Income Percentile,1,1,0,1,0.780206609
ID_0077,2,0,1,0,0,0,1,White,1,0,0,0,10,4,40th - 60th Income Percentile,3,0,0,2,0.427230772
ID_0078,4,0,0,1,0,0,1,White,1,0,1,0,2,2,Below 20th Income Percentile,1,1,1,3,0.780353682
ID_0079,4,0,0,1,0,0,1,White,1,0,1,0,18,2,60th - 80th Income Percentile,2,0,1,1,0.592908171
ID_0080,5,1,0,1,0,0,1,White,1,0,1,0,24,2,Above 80th Income Percentile,1,1,1,2,0.71761899
ID_0081,1,0,1,1,1,0,0,Black,0,0,1,0,2,2,Below 20th Income Percentile,2,0,0,1,3.729554901
ID_0082,6,1,0,1,0,0,1,White,1,0,0,1,24,3,Above 80th Income Percentile,3,0,1,1,0.79095616
ID_0083,4,0,0,1,0,0,1,White,1,0,1,0,16,2,60th - 80th Income Percentile,1,1,1,2,0.663411401
ID_0084,2,0,1,1,0,1,0,Hispanic,1,0,1,0,8,2,20th - 40th Income Percentile,2,0,0,2,1.307252922
ID_0085,1,0,1,1,0,0,1,White,1,0,0,1,18,3,60th - 80th Income Percentile,2,0,0,2,0.75285704
ID_0086,7,1,0,1,0,0,1,White,1,0,1,0,13,2,40th - 60th Income Percentile,1,1,0,2,0.619349659
ID_0087,5,1,0,1,0,0,1,White,1,0,0,1,24,3,Above 80th Income Percentile,5,0,0,2,0.470680628
ID_0088,6,1,0,1,0,0,1,White,1,0,1,0,19,2,Above 80th Income Percentile,1,1,1,2,0.605634439
ID_0089,1,0,1,1,0,0,1,White,1,0,0,1,19,3,Above 80th Income Percentile,2,0,1,1,0.320352779
ID_0090,6,1,0,1,0,0,1,White,1,0,1,0,21,2,Above 80th Income Percentile,1,1,0,2,2.437452261
ID_0091,2,0,1,1,0,0,1,White,1,0,0,1,20,3,Above 80th Income Percentile,2,0,0,2,0.8488291
ID_0092,4,0,0,1,0,0,1,White,0,0,1,0,4,2,Below 20th Income Percentile,2,0,0,2,1.906992843
ID_0093,1,0,1,1,1,0,0,Black,1,0,1,0,6,2,20th - 40th Income Percentile,2,0,0,2,0.832832739
ID_0094,6,1,0,1,0,0,0,Other Race,1,0,1,0,11,2,40th - 60th Income Percentile,1,1,0,1,0.57120823
ID_0095,4,0,0,1,0,0,1,White,0,0,1,0,10,2,40th - 60th Income Percentile,5,0,1,2,0.4948285
ID_0096,2,0,1,1,0,0,1,White,1,0,1,0,10,2,40th - 60th Income Percentile,2,0,1,2,1.188774539
ID_0097,4,0,0,0,1,0,0,Black,1,0,1,0,24,2,Above 80th Income Percentile,5,0,0,0,1.998357811
ID_0098,2,0,1,1,0,0,1,White,1,0,1,0,20,2,Above 80th Income Percentile,2,0,1,1,0.632472665
ID_0099,2,0,1,1,0,0,1,White,1,0,1,0,8,2,20th - 40th Income Percentile,3,0,0,0,0.753934852
ID_0100,2,0,1,1,0,1,0,Hispanic,0,0,0,0,18,4,60th - 80th Income Percentile,2,0,1,1,0.851335631
ID_0101,1,0,1,1,0,0,0,Other Race,1,0,0,1,19,3,Above 80th Income Percentile,2,0,0,1,0.431935508
ID_0102,2,0,1,1,0,1,0,Hispanic,1,0,0,1,19,3,Above 80th Income Percentile,1,1,0,3,0.888264284
ID_0103,6,1,0,1,0,0,1,White,0,0,1,0,6,2,20th - 40th Income Percentile,2,0,1,3,2.801862964
ID_0104,2,0,1,0,0,1,0,Hispanic,1,0,1,0,8,2,20th - 40th Income Percentile,2,0,0,0,0.737505013
ID_0105,1,0,1,1,0,1,0,Hispanic,1,0,1,0,8,2,20th - 40th Income Percentile,2,0,1,2,1.244003021
ID_0106,2,0,1,1,0,0,1,White,1,0,1,0,8,2,20th - 40th Income Percentile,2,0,0,3,1.517599669
ID_0107,7,1,0,1,0,0,1,White,0,0,0,1,20,3,Above 80th Income Percentile,1,1,0,1,0.482198953
ID_0108,4,0,0,0,0,1,0,Hispanic,1,0,1,0,1,2,Below 20th Income Percentile,1,1,0,2,2.4273435
ID_0109,2,0,1,0,1,0,0,Black,1,0,0,1,6,3,20th - 40th Income Percentile,4,0,1,2,0.677205916
ID_0110,1,0,1,1,1,0,0,Black,0,0,1,0,6,2,20th - 40th Income Percentile,2,0,1,2,4.252789735
ID_0111,4,0,0,1,0,0,1,White,1,0,1,0,4,2,Below 20th Income Percentile,1,1,1,2,2.291351417
ID_0112,2,0,1,1,0,0,1,White,1,0,0,0,21,4,Above 80th Income Percentile,2,0,1,1,0.448851234
ID_0113,6,1,0,1,0,0,1,White,1,0,0,1,19,3,Above 80th Income Percentile,4,0,1,1,0.427230772
ID_0114,6,1,0,0,0,0,1,White,1,0,0,1,5,3,20th - 40th Income Percentile,1,1,1,3,0.427230772
ID_0115,2,0,1,0,0,0,1,White,1,0,1,0,10,2,40th - 60th Income Percentile,2,0,1,1,1.268168167
ID_0116,5,1,0,0,0,0,1,White,1,0,0,1,24,3,Above 80th Income Percentile,3,0,1,4,0.317421096
ID_0117,2,0,1,1,0,0,1,White,0,0,0,0,14,4,40th - 60th Income Percentile,2,0,1,2,0.307034449
ID_0118,1,0,1,0,0,0,1,White,0,0,1,0,6,2,20th - 40th Income Percentile,4,0,0,2,3.278881563
ID_0119,2,0,1,1,0,0,1,White,1,0,1,0,9,2,40th - 60th Income Percentile,2,0,1,2,2.275564188
ID_0120,4,0,0,1,1,0,0,Black,0,0,1,0,11,2,40th - 60th Income Percentile,2,0,0,3,1.252078954
ID_0121,6,1,0,0,0,0,0,Other Race,0,0,1,0,14,2,40th - 60th Income Percentile,3,0,0,2,0.485047656
ID_0122,6,1,0,1,0,0,1,White,0,0,0,0,10,4,40th - 60th Income Percentile,3,0,0,2,0.307034449
ID_0123,7,1,0,1,0,0,1,White,0,0,0,1,17,3,60th - 80th Income Percentile,1,1,1,2,0.618821447
ID_0124,5,1,0,1,0,0,1,White,1,0,0,1,10,3,40th - 60th Income Percentile,3,0,0,0,0.427230772
ID_0125,2,0,1,1,0,0,1,White,0,0,0,1,17,3,60th - 80th Income Percentile,2,0,0,2,0.664804754
ID_0126,2,0,1,1,0,0,0,Other Race,0,0,0,1,6,3,20th - 40th Income Percentile,2,0,0,2,1.161930841
ID_0127,2,0,1,1,0,0,1,White,0,0,1,0,4,2,Below 20th Income Percentile,2,0,1,3,2.801862964
ID_0128,6,1,0,1,0,0,1,White,0,0,0,1,24,3,Above 80th Income Percentile,1,1,0,1,1.433602862
ID_0129,1,0,1,0,0,1,0,Hispanic,0,0,1,0,1,2,Below 20th Income Percentile,2,0,0,3,4.857070448
ID_0130,7,1,0,1,0,0,1,White,0,0,1,0,14,2,40th - 60th Income Percentile,1,1,1,2,1.167700396
ID_0131,2,0,1,1,0,0,1,White,0,0,0,1,11,3,40th - 60th Income Percentile,2,0,1,2,0.813539923
ID_0132,7,1,0,1,0,0,1,White,0,0,1,0,16,2,60th - 80th Income Percentile,1,1,1,2,0.662645782
ID_0133,2,0,1,1,0,0,1,White,0,0,0,0,16,4,60th - 80th Income Percentile,2,0,0,1,1.295781102
ID_0134,2,0,1,0,1,0,0,Black,0,1,0,0,1,1,Below 20th Income Percentile,2,0,0,3,4.252789735
ID_0135,2,0,1,1,0,0,1,White,0,0,0,0,18,4,60th - 80th Income Percentile,2,0,1,1,1.295781102
ID_0136,1,0,1,1,0,1,0,Hispanic,0,0,0,0,8,4,20th - 40th Income Percentile,2,0,1,1,0.290175405
ID_0137,4,0,0,1,0,0,1,White,0,0,1,0,5,2,20th - 40th Income Percentile,1,1,1,2,2.615771854
ID_0138,7,1,0,0,0,0,1,White,0,1,0,0,1,1,Below 20th Income Percentile,1,1,0,0,2.003498217
ID_0139,2,0,1,1,0,1,0,Hispanic,0,0,1,0,12,2,40th - 60th Income Percentile,2,0,1,2,0.391533331
ID_0140,1,0,1,1,0,0,1,White,0,0,0,0,16,4,60th - 80th Income Percentile,2,0,0,3,0.305769669
ID_0141,4,0,0,0,0,0,1,White,0,0,1,0,6,2,20th - 40th Income Percentile,4,0,1,3,2.943654179
ID_0142,2,0,1,0,0,1,0,Hispanic,0,0,0,1,8,3,20th - 40th Income Percentile,2,0,0,2,0.301183859
ID_0143,3,0,1,1,0,0,0,Other Race,0,0,1,0,9,2,40th - 60th Income Percentile,3,0,0,1,0.503449026
ID_0144,2,0,1,0,0,0,1,White,0,0,1,0,12,2,40th - 60th Income Percentile,2,0,1,2,0.696179667
ID_0145,4,0,0,1,1,0,0,Black,0,0,1,0,16,2,60th - 80th Income Percentile,2,0,0,2,2.132025236
ID_0146,6,1,0,1,0,0,1,White,0,0,1,0,8,2,20th - 40th Income Percentile,1,1,1,4,3.159036435
ID_0147,2,0,1,1,0,0,1,White,0,0,0,1,21,3,Above 80th Income Percentile,2,0,1,2,0.589013787
ID_0148,4,0,0,0,0,1,0,Hispanic,0,0,0,1,10,3,40th - 60th Income Percentile,2,0,1,2,0.641062245
ID_0149,7,1,0,1,0,0,1,White,0,0,1,0,5,2,20th - 40th Income Percentile,2,0,1,1,1.580710164
ID_0150,7,1,0,0,0,0,1,White,0,0,1,0,7,2,20th - 40th Income Percentile,1,1,1,2,3.540957226
ID_0151,1,0,1,1,1,0,0,Black,0,0,1,0,13,2,40th - 60th Income Percentile,2,0,0,3,2.609018116
ID_0152,1,0,1,1,0,0,0,Other Race,0,0,1,0,10,2,40th - 60th Income Percentile,2,0,1,3,0.656606577
ID_0153,6,1,0,0,0,1,0,Hispanic,0,1,0,0,1,1,Below 20th Income Percentile,2,0,0,1,3.305799998
ID_0154,3,0,1,0,0,0,0,Other Race,0,0,1,0,3,2,Below 20th Income Percentile,2,0,0,2,0.752128547
ID_0155,4,0,0,1,0,0,1,White,0,0,1,0,15,2,60th - 80th Income Percentile,1,1,0,1,1.167700396
ID_0156,5,1,0,1,0,0,1,White,0,0,0,1,20,3,Above 80th Income Percentile,1,1,1,2,0.975733087
ID_0157,4,0,0,0,0,0,1,White,0,0,1,0,24,2,Above 80th Income Percentile,4,0,0,0,2.679421119
ID_0158,7,1,0,1,0,0,1,White,0,0,1,0,12,2,40th - 60th Income Percentile,1,1,1,3,1.580710164
ID_0159,6,1,0,1,0,0,1,White,0,0,1,0,10,2,40th - 60th Income Percentile,1,1,0,0,1.979338891
ID_0160,6,1,0,1,0,1,0,Hispanic,0,0,0,0,21,4,Above 80th Income Percentile,3,0,1,0,0.487625813
ID_0161,4,0,0,1,0,0,0,Other Race,0,0,1,0,15,2,60th - 80th Income Percentile,3,0,0,1,1.567791911
ID_0162,1,0,1,1,0,0,1,White,0,0,1,0,4,2,Below 20th Income Percentile,2,0,0,2,1.635361129
ID_0163,3,0,1,1,0,1,0,Hispanic,0,0,1,0,12,2,40th - 60th Income Percentile,3,0,0,2,0.341008374
ID_0164,7,1,0,1,0,0,1,White,0,0,1,0,3,2,Below 20th Income Percentile,1,1,0,3,0.696917598
ID_0165,2,0,1,1,0,0,1,White,0,0,1,0,15,2,60th - 80th Income Percentile,2,0,1,4,1.097708456
ID_0166,4,0,0,0,0,0,1,White,0,0,0,0,15,4,60th - 80th Income Percentile,3,0,1,0,1.433602862
ID_0167,2,0,1,1,0,1,0,Hispanic,1,0,0,1,19,3,Above 80th Income Percentile,2,0,0,1,0.593244671
ID_0168,5,1,0,1,0,0,1,White,0,0,0,1,15,3,60th - 80th Income Percentile,1,1,1,3,0.515956627
ID_0169,4,0,0,0,0,1,0,Hispanic,0,0,1,0,24,2,Above 80th Income Percentile,4,0,0,0,0.920137558
ID_0170,4,0,0,1,0,0,1,White,0,0,0,1,13,3,40th - 60th Income Percentile,3,0,0,2,0.366730107
ID_0171,7,1,0,1,0,0,1,White,0,0,0,0,23,4,Above 80th Income Percentile,1,1,1,1,0.56517841
ID_0172,6,1,0,0,0,1,0,Hispanic,0,0,1,0,1,2,Below 20th Income Percentile,1,1,1,3,0.920137558
ID_0173,5,1,0,1,1,0,0,Black,0,0,1,0,10,2,40th - 60th Income Percentile,1,1,0,1,1.101744336
ID_0174,5,1,0,1,0,0,0,Other Race,0,0,0,1,14,3,40th - 60th Income Percentile,1,1,1,3,0.714981683
ID_0175,6,1,0,1,0,0,1,White,0,0,0,1,19,3,Above 80th Income Percentile,1,1,1,2,1.093697143
ID_0176,1,0,1,1,0,0,1,White,0,0,0,0,19,4,Above 80th Income Percentile,2,0,1,2,0.909207867
ID_0177,1,0,1,1,0,0,1,White,0,0,0,0,17,4,60th - 80th Income Percentile,2,0,0,0,0.29310505
ID_0178,6,1,0,1,0,0,1,White,0,0,0,1,15,3,60th - 80th Income Percentile,1,1,0,1,0.84882108
ID_0179,3,0,1,1,0,0,1,White,0,0,0,1,18,3,60th - 80th Income Percentile,2,0,1,2,0.516503526
ID_0180,7,1,0,1,0,0,1,White,0,0,1,0,7,2,20th - 40th Income Percentile,1,1,1,2,0.794755606
ID_0181,6,1,0,1,0,0,1,White,0,0,1,0,8,2,20th - 40th Income Percentile,1,1,0,1,1.561168809
ID_0182,4,0,0,0,0,0,1,White,0,0,0,1,21,3,Above 80th Income Percentile,1,1,0,0,0.384669485
ID_0183,6,1,0,0,0,1,0,Hispanic,0,1,0,0,1,1,Below 20th Income Percentile,1,1,0,2,1.018600216
ID_0184,2,0,1,1,0,0,1,White,0,0,0,0,18,4,60th - 80th Income Percentile,2,0,1,2,1.080387323
ID_0185,1,0,1,1,0,1,0,Hispanic,0,0,1,0,3,2,Below 20th Income Percentile,3,0,1,2,0.780080346
ID_0186,7,1,0,1,0,0,1,White,0,0,1,0,11,2,40th - 60th Income Percentile,1,1,1,2,1.14531328
ID_0187,6,1,0,1,0,0,1,White,0,0,0,0,21,4,Above 80th Income Percentile,1,1,0,1,1.17150489
ID_0188,2,0,1,1,0,1,0,Hispanic,0,0,0,1,4,3,Below 20th Income Percentile,2,0,0,2,0.386985443
ID_0189,6,1,0,1,0,0,1,White,0,0,0,1,19,3,Above 80th Income Percentile,3,0,1,2,0.351540579
ID_0190,1,0,1,1,0,1,0,Hispanic,0,0,0,0,23,4,Above 80th Income Percentile,2,0,0,3,0.23096418
ID_0191,1,0,1,1,1,0,0,Black,0,0,0,0,14,4,40th - 60th Income Percentile,2,0,1,2,0.729755188
ID_0192,6,1,0,1,0,0,1,White,0,0,0,1,3,3,Below 20th Income Percentile,5,0,1,1,0.909207867
ID_0193,6,1,0,1,0,1,0,Hispanic,0,0,1,0,14,2,40th - 60th Income Percentile,2,0,1,0,1.14870616
ID_0194,3,0,1,1,0,0,1,White,1,0,0,1,2,3,Below 20th Income Percentile,2,0,0,1,0.939871992
ID_0195,1,0,1,1,1,0,0,Black,1,0,0,1,6,3,20th - 40th Income Percentile,2,0,0,2,1.801794308
ID_0196,1,0,1,1,1,0,0,Black,0,0,1,0,12,2,40th - 60th Income Percentile,2,0,0,2,1.574967233
ID_0197,3,0,1,0,0,0,1,White,1,0,1,0,9,2,40th - 60th Income Percentile,2,0,0,2,0.606276394
ID_0198,1,0,1,1,0,0,1,White,0,0,0,0,19,4,Above 80th Income Percentile,1,1,0,1,1.080387323
ID_0199,4,0,0,0,0,1,0,Hispanic,1,1,0,0,9,1,40th - 60th Income Percentile,4,0,0,1,1.356846492
ID_0200,6,1,0,1,0,1,0,Hispanic,1,0,1,0,4,2,Below 20th Income Percentile,1,1,1,2,0.565477401
ID_0201,5,1,0,1,0,1,0,Hispanic,1,0,0,1,24,3,Above 80th Income Percentile,1,1,1,4,0.370892161
ID_0202,3,0,1,1,0,1,0,Hispanic,1,0,0,0,11,4,40th - 60th Income Percentile,2,0,0,1,1.305088695
ID_0203,4,0,0,0,0,1,0,Hispanic,1,0,0,0,9,4,40th - 60th Income Percentile,2,0,1,2,0.200924946
ID_0204,7,1,0,1,0,1,0,Hispanic,0,0,0,0,24,4,Above 80th Income Percentile,1,1,1,0,0.277010859
ID_0205,7,1,0,1,0,0,1,White,1,0,1,0,16,2,60th - 80th Income Percentile,1,1,0,3,1.742922948
ID_0206,6,1,0,1,0,1,0,Hispanic,0,0,0,1,21,3,Above 80th Income Percentile,1,1,1,3,0.487625813
ID_0207,3,0,1,1,0,1,0,Hispanic,1,0,0,1,14,3,40th - 60th Income Percentile,3,0,1,3,0.250125009
ID_0208,6,1,0,0,0,0,1,White,1,0,1,0,3,2,Below 20th Income Percentile,1,1,0,2,3.080419816
ID_0209,4,0,0,1,0,1,0,Hispanic,1,0,0,0,16,4,60th - 80th Income Percentile,3,0,1,2,0.25243515
ID_0210,6,1,0,1,0,1,0,Hispanic,1,0,1,0,1,2,Below 20th Income Percentile,1,1,1,2,0.936743795
ID_0211,4,0,0,0,0,0,1,White,0,0,1,0,24,2,Above 80th Income Percentile,4,0,0,2,2.801862964
ID_0212,1,0,1,1,0,0,1,White,0,0,1,0,9,2,40th - 60th Income Percentile,2,0,0,2,1.672233401
ID_0213,6,1,0,1,0,1,0,Hispanic,1,0,0,1,20,3,Above 80th Income Percentile,3,0,1,1,0.62326644
ID_0214,2,0,1,1,0,1,0,Hispanic,1,0,0,0,18,4,60th - 80th Income Percentile,2,0,0,1,0.353690792
ID_0215,7,1,0,1,0,0,1,White,1,0,1,0,11,2,40th - 60th Income Percentile,1,1,0,1,5.362191257
ID_0216,6,1,0,0,0,0,0,Other Race,1,0,0,1,11,3,40th - 60th Income Percentile,4,0,1,2,0.170284693
ID_0217,1,0,1,1,0,1,0,Hispanic,1,0,1,0,20,2,Above 80th Income Percentile,2,0,1,2,0.848290346
ID_0218,1,0,1,1,0,1,0,Hispanic,1,0,0,0,13,4,40th - 60th Income Percentile,2,0,1,2,0.33665406
ID_0219,7,1,0,1,0,0,1,White,1,0,0,1,18,3,60th - 80th Income Percentile,1,1,1,2,0.254983765
ID_0220,2,0,1,1,0,0,1,White,1,0,1,0,24,2,Above 80th Income Percentile,2,0,0,2,1.520999285
ID_0221,4,0,0,1,0,0,0,Other Race,0,0,0,0,18,4,60th - 80th Income Percentile,3,0,1,3,0.493090993
ID_0222,4,0,0,0,0,1,0,Hispanic,1,0,1,0,11,2,40th - 60th Income Percentile,3,0,0,3,1.146324177
ID_0223,3,0,1,1,0,1,0,Hispanic,1,1,0,0,1,1,Below 20th Income Percentile,1,1,0,1,2.397803783
